id,name,school,category,gesture,aether,charges,cooldown_s,min_cast_s,loadout_points,effect,setup_or_payoff,counters,secret
1,Ember Bolt,Ember,Offensive,right flick,12,0,18,0.25,1,"8 damage; apply Burning for 9 sec","Build Ember resonance; ignites Oil","Ward; Gust; Reflect",false
2,Frost Lance,Tide,Offensive,straight up line,16,0,18,0.38,1,"10 damage; apply Chilled for 9 sec","Primes Frost Bind and Shatter","Ward; Blink; Dispel",false
3,Spark Dart,Storm,Offensive,short zigzag,10,0,14,0.30,1,"6 damage; apply Static for 45 sec (max 3)","Two stacks prime Chain Lightning and Thunderclap","Gust; Ward; Grounding Mantle",false
4,Stone Shard,Stone,Offensive,V shape,18,0,5,0.48,1,"14 piercing damage","Extra cover damage","Blink; Stone Wall; Brace",false
5,Arcane Missile,Arcane,Offensive,upward arc,20,0,5,0.55,2,"12 damage; mild homing","Consumes Mark for bonus damage","Blink; Barrier; Reflect",false
6,Flame Wave,Ember,Offensive,wide rising arc,28,0,18,0.70,2,"16 cone damage; apply Burning for 9 sec","Ignites Oil and disperses light Fog","Sidestep backward; Barrier; Rain",false
7,Chain Lightning,Storm,Offensive,long zigzag,34,1,18,0.85,3,"18 damage; jumps through Wet zones","Stuns only when target is Soaked or has Static 2","Dispel setup; Grounding Mantle; Blink",false
8,Fireball,Ember,Offensive,clockwise triangle,45,1,24,1.05,3,"30 slow area damage; destroys cover","Oil causes a capped secondary burst","Sidestep; Barrier; interrupt windup",false
9,Ice Comet,Tide,Offensive,inward spiral,40,1,24,1.10,3,"26 area damage; apply Chilled for 9 sec","Freezes Wet ground briefly","Blink; Barrier; interrupt windup",false
10,Ward,Arcane,Defensive,open right bracket,15,0,26,0.32,1,"30 health frontal shield for 12.6 sec","Efficient only when facing threat","Flank angle; Quake; sustained pressure",false
11,Barrier Dome,Arcane,Defensive,clockwise circle,30,0,18,0.72,2,"360 degree barrier for 9 sec; blocks hostile statuses, Aether Leech, and weather exposure","Caster cannot use offense while active","Wait; Sunder; Quake",false
12,Reflect,Gale,Defensive,check mark,20,0,8,0.30,2,"Reflect projectile during 3.6 sec window","Perfect timing grants half Sigil Charge","Area spell; feint; delayed projectile",false
13,Dispel,Arcane,Defensive,counterclockwise circle,22,0,10,0.55,1,"Remove two harmful statuses or one zone edge","Destroys Mark and setup investment","Bait it; reapply later; direct damage",false
14,Blink,Arcane,Defensive,wide Z: right then diagonal down-left then right,18,0,9,0.30,2,"Short movement burst; invisible for 3 sec with brief evade; breaks homing","Escapes Root and makes Practice AI aim randomly","Track landing; area zone; delay release",false
15,Stone Wall,Stone,Defensive,low square,26,0,48,0.78,2,"Create destructible line-of-sight cover for up to 24 sec","Can channel Focus behind it","Quake; Fireball; reposition",false
16,Haste,Gale,Buff,upward spiral,25,0,36,0.72,2,"30 percent movement speed for 18 sec; removes Chilled","Counters Chilled and supports rushdown","Sloth Hex; Aether Leech; force defense",false
17,Aether Surge,Arcane,Buff,figure eight,30,0,36,1.10,2,"Gain 5 extra Aether/sec for 18 sec after channel","Economy setup with interrupt risk","Concussive Blast; Static; Quake",false
